detector,descriptor,detector_time,descriptor_time,num_matches,image_num
FAST,BRIEF,1.92443,1.49729,401,9
FAST,FREAK,2.05852,42.1245,427,1
FAST,FREAK,1.88623,41.0522,404,2
FAST,FREAK,2.01166,41.5476,423,3
FAST,FREAK,1.8594,42.9586,386,4
FAST,FREAK,1.96191,40.5088,414,5
FAST,FREAK,2.02375,40.9276,418,6
FAST,FREAK,2.00836,41.6188,406,7
FAST,FREAK,2.05266,41.6971,396,8
FAST,FREAK,2.14778,43.6889,401,9
FAST,AKAZE,1.96283,61.5447,427,1
FAST,AKAZE,1.9577,68.2558,404,2
FAST,AKAZE,2.11493,55.3109,423,3
FAST,AKAZE,1.96784,59.4083,386,4
FAST,AKAZE,2.03799,74.6643,414,5
FAST,AKAZE,2.01102,60.2952,418,6
FAST,AKAZE,2.08826,60.0484,406,7
FAST,AKAZE,2.06871,64.9524,396,8
FAST,AKAZE,2.46491,60.1978,401,9
FAST,SIFT,2.02676,30.3637,427,1
FAST,SIFT,1.98076,29.0513,404,2
FAST,SIFT,1.98447,31.7328,423,3
FAST,SIFT,2.01338,29.4333,386,4
FAST,SIFT,1.92171,29.2483,414,5
FAST,SIFT,2.16784,29.1428,418,6
FAST,SIFT,1.93078,28.5368,406,7
FAST,SIFT,2.07594,28.8925,396,8
FAST,SIFT,1.83861,29.0773,401,9
BRISK,BRISK,379.118,3.26367,282,1
BRISK,BRISK,375.947,3.42512,282,2
BRISK,BRISK,378.232,3.06542,277,3
BRISK,BRISK,380.397,3.30702,297,4
BRISK,BRISK,376.516,3.08564,279,5
BRISK,BRISK,383.587,3.25976,289,6
BRISK,BRISK,380.571,3.12004,272,7
BRISK,BRISK,379.099,2.96768,266,8
BRISK,BRISK,375.851,3.1636,254,9
BRISK,BRIEF,385.203,1.2375,282,1
BRISK,BRIEF,388.949,1.29255,282,2
BRISK,BRIEF,380.087,1.31591,277,3
BRISK,BRIEF,376.901,1.39042,297,4
BRISK,BRIEF,376.116,1.28661,279,5
BRISK,BRIEF,376.358,1.25944,289,6
BRISK,BRIEF,380.26,1.25293,272,7
BRISK,BRIEF,379.811,1.14884,266,8
BRISK,BRIEF,385.871,1.14685,254,9
BRISK,FREAK,383.675,41.4951,282,1
BRISK,FREAK,380.715,41.362,282,2
BRISK,FREAK,379.611,41.5082,277,3
BRISK,FREAK,385.321,42.2049,297,4
BRISK,FREAK,385.955,42.5344,279,5
BRISK,FREAK,379.595,40.5846,289,6
BRISK,FREAK,376.415,40.7664,272,7
BRISK,FREAK,379.845,40.0498,266,8
BRISK,FREAK,377.624,40.3871,254,9
BRISK,AKAZE,378.517,63.4534,282,1
BRISK,AKAZE,376.384,63.2609,282,2
BRISK,AKAZE,377.925,56.7696,277,3
BRISK,AKAZE,379.193,62.6293,297,4
BRISK,AKAZE,381.949,62.0164,279,5
BRISK,AKAZE,386.516,62.2453,289,6
BRISK,AKAZE,372.179,63.4656,272,7
BRISK,AKAZE,379.841,60.8438,266,8
BRISK,AKAZE,373.165,61.8167,254,9
BRISK,SIFT,385.28,41.4915,282,1
BRISK,SIFT,379.57,41.3173,282,2
BRISK,SIFT,382.277,41.5397,277,3
BRISK,SIFT,374.051,47.2957,297,4
BRISK,SIFT,380.846,41.8652,279,5
BRISK,SIFT,374.843,42.3847,289,6
BRISK,SIFT,374.554,40.6703,272,7
BRISK,SIFT,376.697,40.851,266,8
BRISK,SIFT,377.185,38.7869,254,9
ORB,BRISK,7.60966,1.20459,102,1
ORB,BRISK,7.08305,1.39085,106,2
ORB,BRISK,7.15468,1.38255,113,3
ORB,BRISK,7.93012,1.44495,109,4
ORB,BRISK,7.04122,1.59929,125,5
ORB,BRISK,7.30202,1.67904,130,6
ORB,BRISK,7.24773,1.58827,129,7
ORB,BRISK,7.36586,1.64547,127,8
ORB,BRISK,7.52966,1.77483,128,9
ORB,BRIEF,7.47205,0.64261,102,1
ORB,BRIEF,7.17301,0.66842,106,2
ORB,BRIEF,7.11888,0.65579,113,3
ORB,BRIEF,7.18852,0.720387,109,4
ORB,BRIEF,7.2419,0.758483,125,5
ORB,BRIEF,7.35238,0.776785,130,6
ORB,BRIEF,7.0836,0.718741,129,7
ORB,BRIEF,7.24666,0.724041,127,8
ORB,BRIEF,7.2452,0.663678,128,9
ORB,FREAK,7.07727,39.0363,102,1
ORB,FREAK,7.18638,40.4297,106,2
